Model,Type,MAE,RMSE,R² Score,MAPE (%),CV MAE,CV Std,Training Time (s)
Gradient Boosting,Ensemble (Tree),164773.70841909663,289551.80232375325,0.9878917543676405,7.178541517523965,165056.8680775624,7875.330151758106,3.189020872116089
Random Forest,Ensemble (Tree),170607.70912,328440.5791401735,0.9844209024743141,6.159007608689011,177076.61636495273,12359.763847240407,6.704282283782959
Ridge Regression,Linear,324916.1743014878,506254.1733303424,0.9629860094073494,20.962786459272504,336010.3058621466,6363.901638770769,0.02153778076171875
Lasso Regression,Linear,325952.99226266274,506796.91667772963,0.9629066031851763,21.090247585551083,336930.7040729117,6404.117770830033,0.6470832824707031
Linear Regression,Linear,326093.5826183593,506956.3876659805,0.9628832555635803,21.1055682053183,337031.6236037786,6501.552695013238,0.025919198989868164
K-Nearest Neighbors,Distance-based,431417.956,745094.2465166141,0.9198227609010666,19.20449072271355,460564.08191192494,14409.762588332029,0.013878345489501953
Neural Network (MLP),Deep Learning,492326.9207305362,801924.3023417717,0.9071257269422943,23.457285958856573,610803.3721639662,8568.753987713608,30.226306676864624
Support Vector Machine,Kernel-based,1475742.8288392415,2667126.86866629,-0.027344325644106382,60.8020425401812,1563654.751093271,21755.533112024143,1.309650182723999
